name,price(USD),rating,image,price(NGN)
Apple iPhone 15 Pro Max - 512 GB - Black (Unlocked) *USED,979.99,98.9,https://i.ebayimg.com/thumbs/images/g/VukAAOSwff9mfDh7/s-l140.jpg,1458225
【Give you the lowest price】Apple iPhone XS 64G- 5.8-inch screen-Unlocked/WiFi,104.69,100,https://i.ebayimg.com/thumbs/images/g/KdUAAOSwhGNmOZ6o/s-l140.jpg,155779
Apple iPhone 11 - 64GB Boost Mobile Locked - Very Good Condition,169.0,97.5,https://i.ebayimg.com/thumbs/images/g/N0MAAOSw9JVhO7M9/s-l140.jpg,251472
New ListingApple iPhone 11 Pro - 256GB - Space Grey (Unlocked) A2215,158.81,100,https://i.ebayimg.com/thumbs/images/g/lu0AAOSwnm1mfUMQ/s-l140.jpg,236309
Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Very Good Condition,220.0,98.9,https://i.ebayimg.com/thumbs/images/g/KK8AAOSwg4FiawAp/s-l140.jpg,327360
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,134.95,99.6,https://i.ebayimg.com/thumbs/images/g/roEAAOSwi7tlNsQi/s-l140.jpg,200806
Working Apple iPhone 1st gen(iPhone 2G) 8GB Black A1203 Unlocked Classic 3.5'',88.99,96.5,https://i.ebayimg.com/thumbs/images/g/0DEAAOSwr7xlko1f/s-l140.jpg,132417
Apple iPhone X - 256GB - White (Sim Unlocked) 10/10,245.3,0,https://i.ebayimg.com/thumbs/images/g/rioAAOSwxp1mJ5hZ/s-l140.jpg,365006
iPhone X - Unlocked 64GB - Gray - Good,153.0,98.9,https://i.ebayimg.com/thumbs/images/g/udkAAOSwwnlfLtuM/s-l140.jpg,227664
Fully Working Apple iphone 2g 1st generation unlocked 4GB 8GB 16GB Rare IOS 1.0,98.0,94.8,https://i.ebayimg.com/thumbs/images/g/ExEAAOSwo2RkNk48/s-l140.jpg,145824
Apple iPhone 12 Mini 64GB Unlocked Smartphone - Excellent,231.95,98.6,https://i.ebayimg.com/thumbs/images/g/amoAAOSwi6Fgwl8N/s-l140.jpg,345142
Apple iPhone XR -64GB 128gb -Factory Unlocked A1984 Smartphone Colors VERY GOOD,164.99,96.6,https://i.ebayimg.com/thumbs/images/g/NjwAAOSwIKlfYR4K/s-l140.jpg,245505
Apple iPhone 12 Black 128GB A2172 MGER3LL/A AT&T Clean ESN Good (JF),249.95,99.2,https://i.ebayimg.com/thumbs/images/g/~UYAAOSw1UBi4Cj1/s-l140.jpg,371926
Apple iPhone 15 128GB Unlocked Smartphone - Excellent,679.95,98.6,https://i.ebayimg.com/thumbs/images/g/sh0AAOSwOHhmDW7x/s-l140.jpg,1011766
